sku,description,demand_pattern,model_used,date,forecast,forecast_lower,forecast_upper,mape_backtest,wmape_backtest,bias_pct,holiday_adjusted
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-05-01,15.341527826451244,0.0,34.45434883817935,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-06-01,16.10177397042133,0.0,35.965351250277024,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-07-01,14.848599764427327,0.0,34.82203078463885,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-08-01,16.075621787049815,0.0,36.500767918529995,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-09-01,14.232195283691668,0.0,33.247477034844664,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-10-01,16.50621151944708,0.0,36.87534780728652,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-11-01,10.765394443513669,0.0,30.09709046479769,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-12-01,39.117317631219834,19.641833382325455,59.27813855225847,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2027-01-01,14.852571766305815,0.0,37.393327685782324,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2027-02-01,17.773519318980465,0.0,37.464025703120946,18.761724027973635,19.98599870285172,4.543707770199185,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2027-03-01,28.19674627362616,8.849725365145554,48.03170230901455,18.761724027973635,19.98599870285172,4.543707770199185,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-04-01,63.74779229044949,39.69546475680196,89.65950889013385,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-05-01,81.72685274182989,58.67162164148668,106.04612607520825,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-06-01,63.167565561168765,38.78277900032592,87.16548237998474,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-07-01,85.68460949580894,61.773257770499704,110.46663809949912,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-08-01,50.731371658118285,24.87051512518869,75.44833789179528,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-09-01,62.909561838865706,38.08324781291175,87.33766790341328,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-10-01,52.63691870185458,27.42488677052279,75.75085092291795,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-11-01,74.82434191294027,49.883550619242584,99.72233009100046,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2026-12-01,64.53277644276028,38.56650840519159,88.6652410734509,19.354832298764656,20.76650039817339,-1.4951417131722033,False
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,2027-01-01,65.71525889378431,39.68899423020985,89.42039965955357,19.354832298764656,20.76650039817339,-1.4951417131722033,False
